score,rank,category,source,title,price,price_num,rating,reviews,asin,url
68.0,1,ビューティー,Amazon_BS,キレイキレイ 【Amazon co jp限定】キレイキレイ薬用泡ハンドソープ詰替 シトラスフルーティ大容量1760ml,"¥1,300",1300,4.5,0,B0C1G32J1F,https://www.amazon.co.jp/dp/B0C1G32J1F/
66.2,2,ビューティー,Amazon_BS,VTCOSMETICS ブイティコスメテックス 【正規品】シカデイリースージングマスク 肌荒れスキンケア デイリースージングマスク,"¥2,420",2420,4.4,0,B083X5R6VR,https://www.amazon.co.jp/dp/B083X5R6VR/
65.2,3,ビューティー,Amazon_BS,Attenir スキンクリア アロマタイプ レギュラーボトル クレンジングオイル,"¥2,200",2200,4.5,0,B0CJXS8CB2,https://www.amazon.co.jp/dp/B0CJXS8CB2/
63.9,4,ビューティー,Amazon_BS,Bioré ビオレUV アクアリッチ ウォータリーエッセンス 【Amazon co jp限定】,"¥1,143",1143,4.5,0,B0DS7WX8QS,https://www.amazon.co.jp/dp/B0DS7WX8QS/
62.1,5,ビューティー,Amazon_BS,スキンアクア 50 スーパーモイスチャージェル ポンプ 140g,¥769,769,4.4,0,B0BSFK1RRP,https://www.amazon.co.jp/dp/B0BSFK1RRP/
61.1,6,ビューティー,Amazon_BS,オルビス ORBIS エッセンスインヘアミルク 詰替 140g,"¥1,100",1100,4.5,0,B06X17VVNQ,https://www.amazon.co.jp/dp/B06X17VVNQ/
59.3,7,ビューティー,Amazon_BS,ANSWER スーパーラメラシャンプー つめかえ用 ベルガモット＆ダフネの香り 美髪5大必須成分配合,"¥1,320",1320,4.4,0,B0DT4WN5D9,https://www.amazon.co.jp/dp/B0DT4WN5D9/
57.0,9,ビューティー,Amazon_BS,デオナチュレ ソフトストーンW ワキ用 スティック さらさらパウダーサシェ付,¥990,990,4.5,0,B0948Z8Q9H,https://www.amazon.co.jp/dp/B0948Z8Q9H/
54.4,10,ビューティー,Amazon_BS,パーフェクトワンフォーカス スムースクレンジングバーム スムースクレンジングバームディープブラック PERFECT FOCUS,"¥2,970",2970,4.2,0,B0CHRQ5VB1,https://www.amazon.co.jp/dp/B0CHRQ5VB1/
50.3,8,ビューティー,Amazon_BS,【イニスフリー】ノーセバム ルースパウダー 化粧くずれ 皮脂テカリ 毛穴カバー,¥899,899,0.0,0,B0C851WQFJ,https://www.amazon.co.jp/dp/B0C851WQFJ/
48.8,11,ビューティー,Amazon_BS,擦るだけ『業界注目！痛くない次世代モデル』 無痛脱毛器 手のひらサイズ ギフトにも最適 日本語取説書付き,不明,0,4.4,0,B0F9KQVTQQ,https://www.amazon.co.jp/dp/B0F9KQVTQQ/
47.4,12,ビューティー,Amazon_BS,【大容量】 サクセス 薬用シャンプー エクストラクール アクアシトラスの香り,不明,0,4.4,0,B084H16CPB,https://www.amazon.co.jp/dp/B084H16CPB/
45.6,13,ビューティー,Amazon_BS,シークリスタルス エプソムソルト オリジナル 計量スプーン付 浴用化粧品認定,不明,0,4.3,0,B00C1CACNU,https://www.amazon.co.jp/dp/B00C1CACNU/
45.5,14,ビューティー,Amazon_BS,ハンドソープ つめかえ用 1 52Ｌ 【Amazon co jp限定】 医薬部外品,不明,0,4.6,0,B0DWKHLZF6,https://www.amazon.co.jp/dp/B0DWKHLZF6/
43.3,15,ビューティー,Amazon_BS,【Amazon co jp限定】【大容量】シャンプー ダメージ補修 ベリーの香り ダイアンDX エクストラダメージリペア,不明,0,4.4,0,B07XFWYCH3,https://www.amazon.co.jp/dp/B07XFWYCH3/
41.9,16,ビューティー,Amazon_BS,【Amazon co jp限定】Dove 【大容量】 ボディソープ プレミアムモイスチャーケア ボディウォッシュ,不明,0,4.4,0,B0CD7BHBYG,https://www.amazon.co.jp/dp/B0CD7BHBYG/
40.1,17,ビューティー,Amazon_BS,キャンメイク クリーミータッチライナー02 ミディアムブラウン 0 08g,不明,0,4.3,0,B07B456KKP,https://www.amazon.co.jp/dp/B07B456KKP/
39.2,18,ビューティー,Amazon_BS,ニベア プロテクト SPF50 日やけによるシミ・そばかすを防ぐ ができる美容ケアUV,不明,0,4.4,0,B08R1BFJG5,https://www.amazon.co.jp/dp/B08R1BFJG5/
37.8,19,ビューティー,Amazon_BS,ロレッタ ハードゼリー ローズの香り スタイリング剤 スタイリングジェル,不明,0,4.4,0,B004WBF8EG,https://www.amazon.co.jp/dp/B004WBF8EG/
36.4,20,ビューティー,Amazon_BS,ビオルチア Bio Lucia アイラッシュセラム 6mL×1本,不明,0,4.4,0,B0CK165RK2,https://www.amazon.co.jp/dp/B0CK165RK2/
34.6,21,ビューティー,Amazon_BS,ビオレ アスリズム プロテクトエッセンス 日焼け止め 日やけ止め,不明,0,4.3,0,B0CS6LBHHD,https://www.amazon.co.jp/dp/B0CS6LBHHD/
33.2,22,ビューティー,Amazon_BS,LuLuLun ルルルン ハイドラ フェイスマスク 28枚入,不明,0,4.3,0,B0CJN2ZZVX,https://www.amazon.co.jp/dp/B0CJN2ZZVX/
32.7,23,ビューティー,Amazon_BS,ビオレu 【医薬部外品】ビオレｕ 泡ハンドソープ つめかえ用 770ｍｌ,不明,0,4.5,0,B0BY2NZFJR,https://www.amazon.co.jp/dp/B0BY2NZFJR/
31.3,24,ビューティー,Amazon_BS,LUX ラックス スーパーリッチシャイン ダメージリペア シャンプー,不明,0,4.5,0,B0FKS6PXSM,https://www.amazon.co.jp/dp/B0FKS6PXSM/
29.1,25,ビューティー,Amazon_BS,ジョンソンボディケア バイブラントラディアンス ジャスミンとホワイトリリーの香り ボディクリーム ナイアシンアミド配合,不明,0,4.3,0,B0CDGWJC12,https://www.amazon.co.jp/dp/B0CDGWJC12/
27.3,26,ビューティー,Amazon_BS,トゥヴェール 化粧水 グリシルグリシン６％ アゼライン酸誘導体配合 バランシングGAローション,不明,0,4.2,0,B09M2XFRCF,https://www.amazon.co.jp/dp/B09M2XFRCF/
26.3,27,ビューティー,Amazon_BS,コーセー メイク キープ ミスト 80ml,不明,0,4.3,0,B0CPDS4JNL,https://www.amazon.co.jp/dp/B0CPDS4JNL/
25.4,28,ビューティー,Amazon_BS,【医薬部外品】久光製薬 ブテナロック 足洗いソープ 石鹸 150g,不明,0,4.4,0,B08256DM69,https://www.amazon.co.jp/dp/B08256DM69/
24.0,29,ビューティー,Amazon_BS,ウエラトーン2 クリームタイプ 7CB 医薬部外品 おしゃれな白髪染め,不明,0,4.4,0,B014KNY5SU,https://www.amazon.co.jp/dp/B014KNY5SU/
22.2,30,ビューティー,Amazon_BS,エッセンシャル プレミアム うるおいバリアシャンプー シルキー＆スムース つめかえ用,不明,0,4.3,0,B0FJLZTNLG,https://www.amazon.co.jp/dp/B0FJLZTNLG/
